,fng_value,fng_classification,date
845,12-07-2018,11,Extreme Fear
846,12-06-2018,13,Extreme Fear
847,12-05-2018,19,Extreme Fear
848,12-04-2018,12,Extreme Fear
849,12-03-2018,17,Extreme Fear
850,12-02-2018,15,Extreme Fear
851,12-01-2018,13,Extreme Fear
852,11-30-2018,19,Extreme Fear
853,11-29-2018,18,Extreme Fear
854,11-28-2018,14,Extreme Fear
855,11-27-2018,11,Extreme Fear
856,11-26-2018,17,Extreme Fear
857,11-25-2018,9,Extreme Fear
858,11-24-2018,15,Extreme Fear
859,11-23-2018,12,Extreme Fear
860,11-22-2018,14,Extreme Fear
861,11-21-2018,15,Extreme Fear
862,11-20-2018,21,Extreme Fear
863,11-19-2018,28,Fear
864,11-18-2018,26,Fear
865,11-17-2018,24,Extreme Fear
866,11-16-2018,23,Extreme Fear
867,11-15-2018,28,Fear
868,11-14-2018,49,Neutral
869,11-13-2018,56,Greed
870,11-12-2018,52,Neutral
871,11-11-2018,54,Neutral
872,11-10-2018,52,Neutral
873,11-09-2018,47,Neutral
874,11-08-2018,51,Neutral
875,11-07-2018,48,Neutral
876,11-06-2018,42,Fear
877,11-05-2018,42,Fear
878,11-04-2018,41,Fear
879,11-03-2018,36,Fear
880,11-02-2018,36,Fear
881,11-01-2018,29,Fear
882,10-31-2018,32,Fear
883,10-30-2018,31,Fear
884,10-29-2018,34,Fear
885,10-28-2018,35,Fear
886,10-27-2018,33,Fear
887,10-26-2018,29,Fear
888,10-25-2018,25,Extreme Fear
889,10-24-2018,23,Extreme Fear
890,10-23-2018,24,Extreme Fear
891,10-22-2018,27,Fear
892,10-21-2018,21,Extreme Fear
893,10-20-2018,21,Extreme Fear
894,10-19-2018,24,Extreme Fear
895,10-18-2018,26,Fear
896,10-17-2018,23,Extreme Fear
897,10-16-2018,24,Extreme Fear
898,10-15-2018,20,Extreme Fear
899,10-14-2018,18,Extreme Fear
900,10-13-2018,15,Extreme Fear
901,10-12-2018,13,Extreme Fear
902,10-11-2018,19,Extreme Fear
903,10-10-2018,28,Fear
904,10-09-2018,31,Fear
905,10-08-2018,26,Fear
906,10-07-2018,29,Fear
907,10-06-2018,34,Fear
908,10-05-2018,37,Fear
909,10-04-2018,29,Fear
910,10-03-2018,36,Fear
911,10-02-2018,33,Fear
912,10-01-2018,35,Fear
913,09-30-2018,34,Fear
914,09-29-2018,37,Fear
915,09-28-2018,42,Fear
916,09-27-2018,42,Fear
917,09-26-2018,37,Fear
918,09-25-2018,37,Fear
919,09-24-2018,43,Fear
920,09-23-2018,38,Fear
921,09-22-2018,35,Fear
922,09-21-2018,31,Fear
923,09-20-2018,24,Extreme Fear
924,09-19-2018,24,Extreme Fear
925,09-18-2018,21,Extreme Fear
926,09-17-2018,25,Extreme Fear
927,09-16-2018,28,Fear
928,09-15-2018,24,Extreme Fear
929,09-14-2018,23,Extreme Fear
930,09-13-2018,20,Extreme Fear
931,09-12-2018,14,Extreme Fear
932,09-11-2018,18,Extreme Fear
933,09-10-2018,15,Extreme Fear
934,09-09-2018,13,Extreme Fear
935,09-08-2018,18,Extreme Fear
936,09-07-2018,17,Extreme Fear
937,09-06-2018,14,Extreme Fear
938,09-05-2018,17,Extreme Fear
939,09-04-2018,26,Fear
940,09-03-2018,19,Extreme Fear
941,09-02-2018,18,Extreme Fear
942,09-01-2018,21,Extreme Fear
943,08-31-2018,17,Extreme Fear
944,08-30-2018,22,Extreme Fear
945,08-29-2018,19,Extreme Fear
946,08-28-2018,19,Extreme Fear
947,08-27-2018,18,Extreme Fear
948,08-26-2018,19,Extreme Fear
949,08-25-2018,22,Extreme Fear
950,08-24-2018,19,Extreme Fear
951,08-23-2018,18,Extreme Fear
952,08-22-2018,21,Extreme Fear
953,08-21-2018,19,Extreme Fear
954,08-20-2018,26,Fear
955,08-19-2018,27,Fear
956,08-18-2018,24,Extreme Fear
957,08-17-2018,19,Extreme Fear
958,08-16-2018,21,Extreme Fear
959,08-15-2018,18,Extreme Fear
960,08-14-2018,16,Extreme Fear
961,08-13-2018,21,Extreme Fear
962,08-12-2018,18,Extreme Fear
963,08-11-2018,18,Extreme Fear
964,08-10-2018,21,Extreme Fear
965,08-09-2018,19,Extreme Fear
966,08-08-2018,23,Extreme Fear
967,08-07-2018,25,Extreme Fear
968,08-06-2018,25,Extreme Fear
969,08-05-2018,23,Extreme Fear
970,08-04-2018,31,Fear
971,08-03-2018,36,Fear
972,08-02-2018,39,Fear
973,08-01-2018,39,Fear
974,07-31-2018,48,Neutral
975,07-30-2018,53,Neutral
976,07-29-2018,54,Neutral
977,07-28-2018,54,Neutral
978,07-27-2018,47,Neutral
979,07-26-2018,53,Neutral
980,07-25-2018,54,Neutral
981,07-24-2018,49,Neutral
982,07-23-2018,44,Fear
983,07-22-2018,46,Fear
984,07-21-2018,43,Fear
985,07-20-2018,47,Neutral
986,07-19-2018,44,Fear
987,07-18-2018,42,Fear
988,07-17-2018,39,Fear
989,07-16-2018,36,Fear
990,07-15-2018,32,Fear
991,07-14-2018,29,Fear
992,07-13-2018,29,Fear
993,07-12-2018,33,Fear
994,07-11-2018,29,Fear
995,07-10-2018,37,Fear
996,07-09-2018,39,Fear
997,07-08-2018,38,Fear
998,07-07-2018,34,Fear
999,07-06-2018,34,Fear
1000,07-05-2018,37,Fear
1001,07-04-2018,33,Fear
1002,07-03-2018,31,Fear
1003,07-02-2018,27,Fear
1004,07-01-2018,27,Fear
1005,06-30-2018,22,Extreme Fear
1006,06-29-2018,16,Extreme Fear
1007,06-28-2018,20,Extreme Fear
1008,06-27-2018,18,Extreme Fear
1009,06-26-2018,21,Extreme Fear
1010,06-25-2018,16,Extreme Fear
1011,06-24-2018,15,Extreme Fear
1012,06-23-2018,17,Extreme Fear
1013,06-22-2018,28,Fear
1014,06-21-2018,37,Fear
1015,06-20-2018,34,Fear
1016,06-19-2018,32,Fear
1017,06-18-2018,27,Fear
1018,06-17-2018,23,Extreme Fear
1019,06-16-2018,22,Extreme Fear
1020,06-15-2018,26,Fear
1021,06-14-2018,17,Extreme Fear
1022,06-13-2018,19,Extreme Fear
1023,06-12-2018,19,Extreme Fear
1024,06-11-2018,15,Extreme Fear
1025,06-10-2018,24,Extreme Fear
1026,06-09-2018,39,Fear
1027,06-08-2018,40,Fear
1028,06-07-2018,38,Fear
1029,06-06-2018,42,Fear
1030,06-05-2018,26,Fear
1031,06-04-2018,41,Fear
1032,06-03-2018,40,Fear
1033,06-02-2018,27,Fear
1034,06-01-2018,24,Extreme Fear
1035,05-31-2018,25,Extreme Fear
1036,05-30-2018,38,Fear
1037,05-29-2018,16,Extreme Fear
1038,05-28-2018,22,Extreme Fear
1039,05-27-2018,19,Extreme Fear
1040,05-26-2018,23,Extreme Fear
1041,05-25-2018,25,Extreme Fear
1042,05-24-2018,27,Fear
1043,05-23-2018,26,Fear
1044,05-22-2018,30,Fear
1045,05-21-2018,41,Fear
1046,05-20-2018,32,Fear
1047,05-19-2018,31,Fear
1048,05-18-2018,37,Fear
1049,05-17-2018,31,Fear
1050,05-16-2018,32,Fear
1051,05-15-2018,40,Fear
1052,05-14-2018,40,Fear
1053,05-13-2018,40,Fear
1054,05-12-2018,44,Fear
1055,05-11-2018,41,Fear
1056,05-10-2018,63,Greed
1057,05-09-2018,53,Neutral
1058,05-08-2018,62,Greed
1059,05-07-2018,56,Greed
1060,05-06-2018,67,Greed
1061,05-05-2018,63,Greed
1062,05-04-2018,56,Greed
1063,05-03-2018,55,Greed
1064,05-02-2018,52,Neutral
1065,05-01-2018,56,Greed
1066,04-30-2018,59,Greed
1067,04-29-2018,61,Greed
1068,04-28-2018,54,Neutral
1069,04-27-2018,55,Greed
1070,04-26-2018,47,Neutral
1071,04-25-2018,64,Greed
1072,04-24-2018,29,Fear
1073,04-23-2018,28,Fear
1074,04-22-2018,31,Fear
1075,04-21-2018,32,Fear
1076,04-20-2018,26,Fear
1077,04-19-2018,25,Extreme Fear
1078,04-18-2018,24,Extreme Fear
1079,04-17-2018,26,Fear
1080,04-13-2018,23,Extreme Fear
1081,04-12-2018,18,Extreme Fear
1082,04-11-2018,20,Extreme Fear
1083,04-10-2018,18,Extreme Fear
1084,04-09-2018,21,Extreme Fear
1085,04-08-2018,17,Extreme Fear
1086,04-07-2018,20,Extreme Fear
1087,04-06-2018,19,Extreme Fear
1088,04-05-2018,17,Extreme Fear
1089,04-04-2018,22,Extreme Fear
1090,04-03-2018,22,Extreme Fear
1091,04-02-2018,11,Extreme Fear
1092,04-01-2018,16,Extreme Fear
1093,03-31-2018,16,Extreme Fear
1094,03-30-2018,12,Extreme Fear
1095,03-29-2018,18,Extreme Fear
1096,03-28-2018,24,Extreme Fear
1097,03-27-2018,24,Extreme Fear
1098,03-26-2018,31,Fear
1099,03-25-2018,30,Fear
1100,03-24-2018,32,Fear
1101,03-23-2018,28,Fear
1102,03-22-2018,36,Fear
1103,03-21-2018,36,Fear
1104,03-20-2018,37,Fear
1105,03-19-2018,29,Fear
1106,03-18-2018,29,Fear
1107,03-17-2018,31,Fear
1108,03-16-2018,33,Fear
1109,03-15-2018,32,Fear
1110,03-14-2018,40,Fear
1111,03-13-2018,41,Fear
1112,03-12-2018,41,Fear
1113,03-11-2018,40,Fear
1114,03-10-2018,39,Fear
1115,03-09-2018,37,Fear
1116,03-08-2018,39,Fear
1117,03-07-2018,37,Fear
1118,03-06-2018,59,Greed
1119,03-05-2018,55,Greed
1120,03-04-2018,44,Fear
1121,03-03-2018,56,Greed
1122,03-02-2018,47,Neutral
1123,03-01-2018,38,Fear
1124,02-28-2018,41,Fear
1125,02-27-2018,44,Fear
1126,02-26-2018,37,Fear
1127,02-25-2018,33,Fear
1128,02-24-2018,31,Fear
1129,02-23-2018,39,Fear
1130,02-22-2018,44,Fear
1131,02-21-2018,54,Neutral
1132,02-20-2018,74,Greed
1133,02-19-2018,67,Greed
1134,02-18-2018,63,Greed
1135,02-17-2018,74,Greed
1136,02-16-2018,67,Greed
1137,02-15-2018,71,Greed
1138,02-14-2018,55,Greed
1139,02-13-2018,35,Fear
1140,02-12-2018,42,Fear
1141,02-11-2018,31,Fear
1142,02-10-2018,54,Neutral
1143,02-09-2018,44,Fear
1144,02-08-2018,30,Fear
1145,02-07-2018,36,Fear
1146,02-06-2018,8,Extreme Fear
1147,02-05-2018,11,Extreme Fear
1148,02-04-2018,24,Extreme Fear
1149,02-03-2018,40,Fear
1150,02-02-2018,15,Extreme Fear
1151,02-01-2018,30,Fear
